0.3424670.342467	0.313668	0.313668	0.300926	0.300926	0.29501	0.29501	0.292247	0.292247	0.290955	0.290955	0.29035	0.29035	0.290068	0.290068	0.289936	0.289936	0.289875	0.289875	0.289846	0.289846	0.289833	0.289833	0.289827	0.289827	0.289824	0.289824	0.289822	0.289822	0.289822	0.289822	0.289822	0.289822	0.289821	0.289821	0.289821	0.289821	0.289821	
0.8720670.872067	0.810563	0.810563	0.783269	0.783269	0.770587	0.770587	0.764659	0.764659	0.761886	0.761886	0.760588	0.760588	0.759982	0.759982	0.759699	0.759699	0.759567	0.759567	0.759505	0.759505	0.759477	0.759477	0.759463	0.759463	0.759457	0.759457	0.759454	0.759454	0.759453	0.759453	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	
1.248461.24846	1.17851	1.17851	1.14685	1.14685	1.13197	1.13197	1.12498	1.12498	1.1217	1.1217	1.12016	1.12016	1.11945	1.11945	1.11911	1.11911	1.11895	1.11895	1.11888	1.11888	1.11885	1.11885	1.11883	1.11883	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	
1.470781.47078	1.41781	1.41781	1.39233	1.39233	1.37997	1.37997	1.37407	1.37407	1.37128	1.37128	1.36997	1.36997	1.36935	1.36935	1.36907	1.36907	1.36893	1.36893	1.36887	1.36887	1.36884	1.36884	1.36883	1.36883	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	
1.533681.53368	1.52634	1.52634	1.51933	1.51933	1.51505	1.51505	1.51281	1.51281	1.51171	1.51171	1.51118	1.51118	1.51093	1.51093	1.51081	1.51081	1.51076	1.51076	1.51073	1.51073	1.51072	1.51072	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	
1.428141.42814	1.50032	1.50032	1.52742	1.52742	1.53866	1.53866	1.54359	1.54359	1.54583	1.54583	1.54686	1.54686	1.54733	1.54733	1.54756	1.54756	1.54766	1.54766	1.54771	1.54771	1.54773	1.54773	1.54774	1.54774	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	
1.154631.15463	1.34168	1.34168	1.42199	1.42199	1.45848	1.45848	1.47534	1.47534	1.48319	1.48319	1.48685	1.48685	1.48856	1.48856	1.48936	1.48936	1.48973	1.48973	1.48991	1.48991	1.48999	1.48999	1.49003	1.49003	1.49004	1.49004	1.49005	1.49005	1.49005	1.49005	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	
0.783650.78365	1.08947	1.08947	1.23336	1.23336	1.30184	1.30184	1.33423	1.33423	1.34948	1.34948	1.35664	1.35664	1.36	1.36	1.36156	1.36156	1.3623	1.3623	1.36264	1.36264	1.3628	1.3628	1.36287	1.36287	1.36291	1.36291	1.36292	1.36292	1.36293	1.36293	1.36293	1.36293	1.36293	1.36293	1.36293	1.36293	1.36293	
0.5857130.585713	0.89118	0.89118	1.05655	1.05655	1.13877	1.13877	1.17839	1.17839	1.1972	1.1972	1.20607	1.20607	1.21023	1.21023	1.21218	1.21218	1.21309	1.21309	1.21352	1.21352	1.21372	1.21372	1.21381	1.21381	1.21385	1.21385	1.21387	1.21387	1.21388	1.21388	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	
0.5086350.508635	0.787267	0.787267	0.950568	0.950568	1.03414	1.03414	1.07486	1.07486	1.09429	1.09429	1.10347	1.10347	1.10779	1.10779	1.10981	1.10981	1.11076	1.11076	1.1112	1.1112	1.1114	1.1114	1.1115	1.1115	1.11154	1.11154	1.11156	1.11156	1.11157	1.11157	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	
