0.4108440.410844	0.370198	0.370293	0.361417	0.319224	0.29205	0.270374	0.262468	0.249273	0.244731	0.244356	0.241371	0.235688	0.235885	0.236419	0.236282	0.23631	0.236276	0.236201	0.23621	0.236244	0.236237	0.236228	0.236232	0.236242	0.236242	0.236241	0.236243	0.236243	0.236243	0.236243	0.236243	0.236243	0.236243	0.236243	0.236243	0.236243	0.236243	
1.032321.03232	0.942877	0.943085	0.923173	0.828784	0.767555	0.718297	0.700352	0.670608	0.6603	0.659272	0.652595	0.639931	0.640378	0.641577	0.641277	0.64134	0.641269	0.641105	0.64113	0.64121	0.641196	0.641179	0.641187	0.641209	0.641211	0.641209	0.641212	0.641213	0.641214	0.641214	0.641214	0.641213	0.641213	0.641214	0.641214	0.641214	0.641214	
1.46441.4644	1.35834	1.35859	1.33438	1.21996	1.14487	1.08368	1.06102	1.02369	1.01015	1.00746	0.998863	0.983041	0.98352	0.984973	0.98462	0.984693	0.984614	0.984425	0.984461	0.984567	0.984554	0.984536	0.984547	0.984577	0.984579	0.984578	0.984582	0.984583	0.984584	0.984584	0.984583	0.984583	0.984583	0.984583	0.984583	0.984583	0.984583	
1.710031.71003	1.62065	1.62086	1.59941	1.49848	1.43048	1.37346	1.35136	1.31527	1.30076	1.29484	1.28594	1.27068	1.27094	1.27221	1.27192	1.27198	1.27192	1.27177	1.27181	1.27193	1.27193	1.27192	1.27193	1.27196	1.27196	1.27196	1.27197	1.27197	1.27197	1.27197	1.27197	1.27197	1.27197	1.27197	1.27197	1.27197	1.27197	
1.762611.76261	1.72622	1.7263	1.7154	1.66492	1.62673	1.59117	1.57523	1.54982	1.53677	1.526	1.5186	1.50802	1.50777	1.50842	1.50831	1.50832	1.50832	1.50827	1.50833	1.50844	1.50845	1.50846	1.50848	1.5085	1.50851	1.50851	1.50852	1.50852	1.50852	1.50852	1.50852	1.50852	1.50852	1.50852	1.50852	1.50852	1.50852	
1.599361.59936	1.65883	1.65869	1.66771	1.71194	1.72999	1.73542	1.7321	1.72844	1.72018	1.70375	1.7004	1.69964	1.69866	1.69815	1.69835	1.69826	1.69836	1.69851	1.69858	1.69866	1.69871	1.69875	1.69877	1.69878	1.69879	1.6988	1.6988	1.6988	1.6988	1.6988	1.6988	1.6988	1.6988	1.6988	1.6988	1.6988	1.6988	
1.172891.17289	1.38181	1.38131	1.42254	1.61894	1.72628	1.79637	1.81395	1.84654	1.84865	1.8284	1.83332	1.84976	1.84781	1.84549	1.84607	1.84579	1.84604	1.84651	1.8466	1.84666	1.84675	1.84686	1.84687	1.84687	1.84688	1.8469	1.84689	1.84689	1.84689	1.84689	1.84689	1.84689	1.84689	1.84689	1.84689	1.84689	1.84689	
0.4793710.479371	0.873967	0.873029	0.958349	1.3618	1.59366	1.75726	1.80687	1.894	1.91599	1.90022	1.91969	1.9623	1.95928	1.95445	1.95533	1.95468	1.95515	1.95608	1.95622	1.95625	1.95643	1.95661	1.95663	1.9566	1.95662	1.95664	1.95663	1.95662	1.95662	1.95662	1.95662	1.95662	1.95662	1.95662	1.95662	1.95662	1.95662	
0.2626610.262661	0.57279	0.57204	0.66405	1.09686	1.40096	1.66711	1.75596	1.89448	1.94206	1.94838	1.97772	2.03313	2.03005	2.02403	2.02524	2.02478	2.02538	2.02659	2.02676	2.02679	2.02699	2.0272	2.02721	2.02717	2.0272	2.02722	2.02721	2.0272	2.0272	2.0272	2.0272	2.0272	2.0272	2.0272	2.0272	2.0272	2.0272	
0.1974240.197424	0.434473	0.43391	0.518277	0.913849	1.24148	1.56561	1.68795	1.87273	1.94466	1.9729	2.0071	2.06704	2.06424	2.05762	2.05944	2.05963	2.06027	2.06157	2.06172	2.06173	2.06192	2.06212	2.06213	2.06208	2.0621	2.06213	2.06212	2.06211	2.06211	2.06211	2.06211	2.06211	2.06211	2.06211	2.06211	2.06211	2.06211	
0.1810940.181094	0.391973	0.391485	0.470475	0.840386	1.16784	1.50509	1.64042	1.84449	1.92794	1.96797	2.00428	2.06553	2.06329	2.05672	2.05905	2.05978	2.0604	2.06168	2.06179	2.06174	2.0619	2.06207	2.06207	2.06202	2.06204	2.06207	2.06206	2.06205	2.06205	2.06205	2.06205	2.06205	2.06205	2.06205	2.06205	2.06205	2.06205	
0.191850.19185	0.418888	0.418368	0.499102	0.877525	1.19441	1.50987	1.63239	1.81806	1.89387	1.92999	1.96697	2.02924	2.0279	2.02212	2.0244	2.02508	2.02567	2.0269	2.02695	2.02681	2.02694	2.02707	2.02706	2.02701	2.02702	2.02705	2.02704	2.02704	2.02704	2.02704	2.02704	2.02704	2.02704	2.02704	2.02704	2.02704	2.02704	
0.2465360.246536	0.531674	0.531021	0.61618	1.01645	1.30357	1.55876	1.64875	1.78921	1.84344	1.8632	1.89774	1.95785	1.9574	1.9529	1.95467	1.95492	1.9554	1.95644	1.95643	1.95621	1.95631	1.95641	1.9564	1.95633	1.95635	1.95637	1.95637	1.95637	1.95637	1.95637	1.95637	1.95637	1.95637	1.95637	1.95637	1.95637	1.95637	
0.4345070.434507	0.786282	0.785488	0.862802	1.22776	1.44377	1.60125	1.65363	1.74413	1.77465	1.77566	1.80173	1.85041	1.85017	1.84689	1.84802	1.84787	1.84816	1.84881	1.84875	1.8485	1.84856	1.84864	1.84862	1.84856	1.84857	1.84859	1.84858	1.84858	1.84858	1.84858	1.84858	1.84858	1.84858	1.84858	1.84858	1.84858	1.84858	
1.038831.03883	1.21784	1.21744	1.25392	1.42671	1.52668	1.59711	1.62003	1.66044	1.67251	1.66894	1.67993	1.70184	1.70127	1.69948	1.69975	1.69944	1.69949	1.69964	1.69955	1.69935	1.69936	1.69938	1.69936	1.69933	1.69933	1.69933	1.69933	1.69933	1.69933	1.69933	1.69933	1.69933	1.69933	1.69933	1.69933	1.69933	1.69933	
1.376171.37617	1.42281	1.42271	1.43045	1.4675	1.48674	1.498	1.5013	1.50784	1.50881	1.5056	1.50705	1.51085	1.51032	1.50972	1.50949	1.50917	1.5091	1.50898	1.5089	1.50878	1.50876	1.50874	1.50873	1.50871	1.5087	1.5087	1.5087	1.5087	1.5087	1.5087	1.5087	1.5087	1.5087	1.5087	1.5087	1.5087	1.5087	
1.447961.44796	1.41508	1.41516	1.40632	1.36465	1.33638	1.31237	1.30391	1.29024	1.28511	1.28339	1.27979	1.27344	1.27315	1.27337	1.2729	1.27265	1.27252	1.27228	1.27223	1.27217	1.27214	1.2721	1.27209	1.27208	1.27207	1.27207	1.27206	1.27206	1.27206	1.27206	1.27206	1.27206	1.27206	1.27206	1.27206	1.27206	1.27206	
1.296241.29624	1.22641	1.22657	1.21048	1.13424	1.08518	1.04591	1.03231	1.00972	1.0021	1.00159	0.995971	0.985342	0.985267	0.985909	0.985382	0.9852	0.985065	0.984799	0.984764	0.984752	0.984714	0.984675	0.984669	0.984668	0.984658	0.984647	0.984646	0.984646	0.984645	0.984645	0.984645	0.984645	0.984645	0.984645	0.984645	0.984645	0.984645	
0.9402510.940251	0.870358	0.870519	0.855044	0.78156	0.734893	0.698128	0.685376	0.664004	0.65696	0.65694	0.651679	0.641565	0.641576	0.642244	0.6418	0.641678	0.641567	0.641344	0.641324	0.641331	0.641301	0.641268	0.641264	0.641266	0.641258	0.641249	0.641248	0.641248	0.641248	0.641248	0.641248	0.641247	0.641247	0.641248	0.641248	0.641248	0.641248	
