45.806545.8065	40.5274	40.5375	39.594	31.9659	29.3268	29.0962	28.7263	28.4248	28.3747	28.5679	28.5502	28.5492	28.5487	28.5493	28.5494	28.5496	28.5497	28.5494	28.5494	28.5496	28.5495	28.5495	28.5495	28.5495	28.5495	28.5495	28.5495	28.5495	28.5495	28.5495	28.5495	28.5495	28.5495	28.5495	28.5495	28.5495	
44.744244.7442	39.5018	39.5118	38.5752	31.0004	28.3794	28.1501	27.7823	27.4824	27.4322	27.6238	27.6061	27.6051	27.6046	27.6052	27.6053	27.6055	27.6055	27.6053	27.6053	27.6055	27.6054	27.6054	27.6054	27.6054	27.6054	27.6054	27.6054	27.6054	27.6054	27.6054	27.6054	27.6054	27.6054	27.6054	27.6054	27.6054	
43.8543.85	38.6157	38.6257	37.6907	30.1275	27.5104	27.2813	26.9141	26.6145	26.5643	26.7555	26.7378	26.7369	26.7364	26.7369	26.7371	26.7372	26.7373	26.7371	26.7371	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	26.7372	
43.097643.0976	37.8448	37.8548	36.9162	29.3253	26.6986	26.4687	26.1003	25.8	25.7499	25.942	25.9243	25.9234	25.9228	25.9234	25.9236	25.9237	25.9238	25.9235	25.9236	25.9237	25.9237	25.9236	25.9236	25.9236	25.9236	25.9236	25.9236	25.9236	25.9236	25.9236	25.9236	25.9236	25.9236	25.9236	25.9236	25.9236	
42.481642.4816	37.1813	37.1915	36.2437	28.5804	25.9281	25.6961	25.3247	25.0222	24.9724	25.1667	25.1491	25.1481	25.1476	25.1482	25.1484	25.1486	25.1486	25.1484	25.1484	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	25.1485	
42.019342.0193	36.6361	36.6464	35.6821	27.8878	25.188	24.9517	24.5748	24.2684	24.219	24.4176	24.3999	24.399	24.3985	24.3992	24.3993	24.3995	24.3995	24.3993	24.3993	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	24.3994	
41.754941.7549	36.2418	36.2523	35.2616	27.2524	24.4723	24.2279	23.8417	23.5286	23.48	23.6857	23.6681	23.6672	23.6667	23.6674	23.6675	23.6677	23.6678	23.6675	23.6675	23.6677	23.6676	23.6676	23.6676	23.6676	23.6676	23.6676	23.6676	23.6676	23.6676	23.6676	23.6676	23.6676	23.6676	23.6676	23.6676	23.6676	
41.767541.7675	36.0622	36.073	35.0412	26.6925	23.7799	23.5201	23.1186	22.7947	22.7474	22.9647	22.9471	22.9462	22.9458	22.9466	22.9468	22.947	22.947	22.9467	22.9468	22.9469	22.9469	22.9468	22.9469	22.9469	22.9469	22.9469	22.9469	22.9469	22.9469	22.9469	22.9469	22.9469	22.9469	22.9469	22.9469	22.9469	
42.187242.1872	36.2085	36.2198	35.1253	26.2483	23.1168	22.8269	22.4006	22.0592	22.0139	22.2502	22.2327	22.2318	22.2315	22.2325	22.2326	22.2329	22.2329	22.2326	22.2326	22.2328	22.2328	22.2327	22.2327	22.2327	22.2327	22.2327	22.2327	22.2327	22.2327	22.2327	22.2327	22.2327	22.2327	22.2327	22.2327	22.2327	
43.219243.2192	36.8709	36.8828	35.6936	25.9993	22.5021	22.1499	21.6833	21.3136	21.2718	21.5387	21.5216	21.5208	21.5207	21.522	21.5222	21.5224	21.5225	21.5222	21.5222	21.5224	21.5223	21.5223	21.5223	21.5223	21.5223	21.5223	21.5223	21.5223	21.5223	21.5223	21.5223	21.5223	21.5223	21.5223	21.5223	21.5223	
45.157445.1574	38.3727	38.3854	37.0534	26.1062	21.9843	21.4937	20.962	20.5476	20.5116	20.8278	20.8118	20.8111	20.8114	20.8132	20.8135	20.8137	20.8138	20.8135	20.8135	20.8137	20.8136	20.8136	20.8136	20.8136	20.8136	20.8136	20.8136	20.8136	20.8136	20.8136	20.8136	20.8136	20.8136	20.8136	20.8136	20.8136	
48.207948.2079	41.2178	41.2306	39.6907	26.9097	21.6918	20.8631	20.2306	19.7494	19.7236	20.1152	20.1024	20.1022	20.1033	20.1061	20.1064	20.1067	20.1068	20.1064	20.1064	20.1066	20.1066	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	
48.207948.2079	41.2178	41.2306	39.6907	26.9097	21.6918	20.8631	20.2306	19.7494	19.7236	20.1152	20.1024	20.1022	20.1033	20.1061	20.1064	20.1067	20.1068	20.1064	20.1064	20.1066	20.1066	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	20.1065	
-5.77494e-082.46034e-07	2.37057e-07	9.72224e-08	2.41284e-07	-2.15855e-08	-2.33813e-08	8.04555e-08	8.74866e-08	8.66478e-08	-3.22161e-08	-7.81982e-09	7.59713e-08	-3.56222e-08	-6.13753e-08	2.31972e-08	3.19959e-08	4.38715e-08	-5.39695e-08	-3.41262e-08	5.00928e-08	-7.06313e-08	7.07689e-08	8.85758e-08	-5.6347e-08	5.35218e-08	-4.3741e-08	4.57101e-08	-4.4682e-08	-4.32841e-08	-4.16145e-08	4.34699e-08	4.1792e-08	5.40655e-08	5.12716e-08	4.88794e-08	4.66975e-08	4.36152e-08	
-5.77494e-082.46034e-07	2.37057e-07	9.72224e-08	2.41284e-07	-2.15855e-08	-2.33813e-08	8.04555e-08	8.74866e-08	8.66478e-08	-3.22161e-08	-7.81982e-09	7.59713e-08	-3.56222e-08	-6.13753e-08	2.31972e-08	3.19959e-08	4.38715e-08	-5.39695e-08	-3.41262e-08	5.00928e-08	-7.06313e-08	7.07689e-08	8.85758e-08	-5.6347e-08	5.35218e-08	-4.3741e-08	4.57101e-08	-4.4682e-08	-4.32841e-08	-4.16145e-08	4.34699e-08	4.1792e-08	5.40655e-08	5.12716e-08	4.88794e-08	4.66975e-08	4.36152e-08	
-5.77494e-082.46034e-07	2.37057e-07	9.72224e-08	2.41284e-07	-2.15855e-08	-2.33813e-08	8.04555e-08	8.74866e-08	8.66478e-08	-3.22161e-08	-7.81982e-09	7.59713e-08	-3.56222e-08	-6.13753e-08	2.31972e-08	3.19959e-08	4.38715e-08	-5.39695e-08	-3.41262e-08	5.00928e-08	-7.06313e-08	7.07689e-08	8.85758e-08	-5.6347e-08	5.35218e-08	-4.3741e-08	4.57101e-08	-4.4682e-08	-4.32841e-08	-4.16145e-08	4.34699e-08	4.1792e-08	5.40655e-08	5.12716e-08	4.88794e-08	4.66975e-08	4.36152e-08	
-5.77494e-082.46034e-07	2.37057e-07	9.72224e-08	2.41284e-07	-2.15855e-08	-2.33813e-08	8.04555e-08	8.74866e-08	8.66478e-08	-3.22161e-08	-7.81982e-09	7.59713e-08	-3.56222e-08	-6.13753e-08	2.31972e-08	3.19959e-08	4.38715e-08	-5.39695e-08	-3.41262e-08	5.00928e-08	-7.06313e-08	7.07689e-08	8.85758e-08	-5.6347e-08	5.35218e-08	-4.3741e-08	4.57101e-08	-4.4682e-08	-4.32841e-08	-4.16145e-08	4.34699e-08	4.1792e-08	5.40655e-08	5.12716e-08	4.88794e-08	4.66975e-08	4.36152e-08	
5.571385.57138	7.0877	7.08403	7.65189	11.9175	13.905	14.5889	14.8491	15.0842	15.2047	15.1732	15.1953	15.1961	15.1961	15.1959	15.1957	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	
5.571385.57138	7.0877	7.08403	7.65189	11.9175	13.905	14.5889	14.8491	15.0842	15.2047	15.1732	15.1953	15.1961	15.1961	15.1959	15.1957	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	15.1955	
8.488718.4887	9.81693	9.814	10.1555	12.74	13.8163	14.1306	14.2854	14.4249	14.4944	14.4725	14.4854	14.4859	14.4859	14.4858	14.4857	14.4856	14.4855	14.4856	14.4856	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	14.4855	
10.350710.3507	11.2102	11.2083	11.3976	12.8483	13.4231	13.5752	13.6633	13.7429	13.7824	13.7695	13.7769	13.7772	13.7772	13.7771	13.7771	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	13.777	
11.235211.2352	11.7207	11.7197	11.8178	12.583	12.8819	12.9573	13.0058	13.0497	13.0719	13.0652	13.0693	13.0695	13.0695	13.0694	13.0694	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	13.0693	
11.455511.4555	11.6999	11.6994	11.7458	12.1177	12.2649	12.3024	12.3276	12.3508	12.363	12.3601	12.3622	12.3623	12.3623	12.3623	12.3623	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	12.3622	
11.266311.2662	11.3699	11.3696	11.3882	11.543	11.6075	11.6255	11.6375	11.6488	11.6551	11.6544	11.6555	11.6555	11.6555	11.6555	11.6555	11.6555	11.6555	11.6555	11.6555	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	11.6554	
