38.142	38.0481	37.8296	37.497	37.079	36.6149	36.1494	35.728	35.3924	35.1618	34.9761	34.5123	34.5123	25.315	22.9578	22.1083	20.4552	14.501	14.501	14.176	13.8752	13.4078	12.8071	12.1251	11.3995	10.6538	9.90105	9.14825	8.39865	7.65344	6.91272	6.1761	5.44295	4.71264	3.98458	3.25824	2.53321	1.80914	1.08575	0.362843	-0.362843	
33.6009	33.5263	33.3172	32.9849	32.5575	32.0729	31.5747	31.1105	30.7345	30.5103	30.5113	30.8155	30.8155	24.3251	21.65	20.0536	18.039	13.47	13.47	13.7255	13.5414	13.098	12.5117	11.8494	11.1481	10.4282	9.7007	8.97142	8.24319	7.51721	6.79382	6.0729	5.35417	4.63726	3.92181	3.20751	2.49408	1.78131	1.06901	0.357057	-0.357057	
31.0576	30.9974	30.7943	30.46	30.0215	29.5141	28.9765	28.4498	27.9792	27.62	27.4444	27.5572	27.5572	22.7944	20.6586	19.2436	17.5258	13.9574	13.9574	13.9293	13.5821	13.0572	12.4359	11.763	11.0632	10.3502	9.6316	8.91141	8.19166	7.47326	6.75652	6.0414	5.32773	4.6153	3.90386	3.19321	2.48317	1.77358	1.06432	0.355306	-0.355306	
29.3632	29.3127	29.1136	28.7777	28.3312	27.807	27.2399	26.6649	26.1182	25.6414	25.2888	25.1426	25.1426	21.6002	19.889	18.6726	17.2262	14.432	14.432	14.1408	13.6529	13.0576	12.4036	11.7178	11.0153	10.3046	9.59038	8.87525	8.16049	7.44669	6.73403	6.02249	5.31195	4.60226	3.89326	3.1848	2.47676	1.76904	1.06155	0.354221	-0.354221	
28.2124	28.1685	27.972	27.6351	27.183	26.6474	26.0601	25.4516	24.8509	24.2888	23.8031	23.4511	23.4511	20.7435	19.3245	18.2494	17.0009	14.7697	14.7697	14.2984	13.7134	13.068	12.3897	11.6934	10.9878	10.2777	9.5658	8.8536	8.14185	7.43087	6.72073	6.0114	5.30278	4.59476	3.88721	3.18003	2.47315	1.76648	1.05997	0.353569	-0.35357	
27.4287	27.3891	27.1944	26.8567	26.4011	25.8577	25.2568	24.6256	23.9879	23.3666	22.787	22.2868	22.2868	20.1415	18.92	17.9419	16.8331	15.0008	15.0008	14.4103	13.76	13.0803	12.3847	11.6806	10.9723	10.2621	9.5514	8.84092	8.13099	7.42174	6.71315	6.00517	5.2977	4.59065	3.88394	3.17748	2.47123	1.76512	1.05912	0.353194	-0.353194	
26.8943	26.8576	26.6641	26.326	25.8679	25.3194	24.7094	24.0628	23.4	22.7382	22.0936	21.49	21.49	19.7222	18.6337	17.7221	16.7111	15.1589	15.1589	14.4891	13.7949	13.0916	12.3839	11.6742	10.9637	10.2531	9.54306	8.83358	8.12476	7.41657	6.70893	6.00176	5.29498	4.5885	3.88226	3.1762	2.47028	1.76445	1.05869	0.352984	-0.352984	
26.5297	26.495	26.3023	25.9638	25.5041	24.9521	24.3359	23.6789	22.9992	22.3097	21.6206	20.9456	20.9456	19.4315	18.4329	17.5669	16.6241	15.2676	15.2676	14.5446	13.8206	13.101	12.3849	11.671	10.9589	10.248	9.53824	8.82936	8.12122	7.41368	6.70663	5.99996	5.29359	4.58744	3.88146	3.1756	2.46984	1.76414	1.05849	0.352868	-0.352868	
26.2806	26.2472	26.055	25.7164	25.2555	24.7013	24.0809	23.4169	22.7256	22.0173	21.2977	20.5737	20.5737	19.2307	18.2928	17.458	16.5627	15.3426	15.3426	14.5835	13.8391	13.1084	12.3863	11.6696	10.9562	10.2451	9.53545	8.82693	8.11921	7.41209	6.7054	5.99903	5.2929	4.58694	3.88111	3.17536	2.46967	1.76403	1.05841	0.352806	-0.352806	
26.1103	26.0778	25.886	25.5472	25.0856	24.5297	23.9066	23.2378	22.5387	21.8176	21.0771	20.3195	20.3195	19.0922	18.1955	17.3821	16.5197	15.3944	15.3944	14.6107	13.8524	13.114	12.3878	11.6691	10.9548	10.2434	9.53383	8.82552	8.11807	7.4112	6.70474	5.99856	5.29258	4.58673	3.88097	3.17528	2.46962	1.764	1.05838	0.352773	-0.352773	
25.9937	25.9618	25.7703	25.4314	24.9693	24.4124	23.7873	23.1153	22.4108	21.681	20.9264	20.1456	20.1456	18.9969	18.1282	17.3294	16.4898	15.4301	15.4301	14.6296	13.8618	13.1181	12.3891	11.6689	10.954	10.2424	9.53287	8.8247	8.11742	7.41072	6.7044	5.99834	5.29244	4.58666	3.88095	3.17527	2.46963	1.764	1.05838	0.352755	-0.352755	
25.9139	25.8824	25.691	25.3521	24.8897	24.332	23.7056	23.0314	22.3233	21.5875	20.8232	20.0267	20.0267	18.9314	18.0816	17.293	16.4691	15.4548	15.4548	14.6428	13.8685	13.1211	12.3901	11.6689	10.9536	10.2418	9.53232	8.82423	8.11704	7.41045	6.70422	5.99823	5.29239	4.58665	3.88096	3.1753	2.46966	1.76402	1.05839	0.352746	-0.352746	
25.8593	25.828	25.6368	25.2978	24.8351	24.277	23.6497	22.974	22.2634	21.5236	20.7525	19.9453	19.9453	18.8863	18.0496	17.2678	16.4548	15.4719	15.4719	14.652	13.8731	13.1232	12.3909	11.669	10.9534	10.2415	9.53198	8.82394	8.11682	7.41029	6.70413	5.99819	5.29238	4.58666	3.88098	3.17533	2.46969	1.76404	1.0584	0.352742	-0.352742	
