0.3424670.342467	0.315127	0.315199	0.309304	0.288703	0.289435	0.290439	0.289988	0.289695	0.28974	0.289833	0.289827	0.289819	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	0.289821	
0.8720670.872067	0.813675	0.813829	0.801205	0.757121	0.758657	0.760774	0.75981	0.759184	0.759279	0.759477	0.759465	0.759448	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	0.759452	
1.248461.24846	1.18205	1.18223	1.16761	1.11659	1.11814	1.12036	1.11923	1.11851	1.11862	1.11884	1.11883	1.11881	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	1.11882	
1.470781.47078	1.42049	1.42062	1.40893	1.36814	1.36886	1.37007	1.36915	1.36856	1.36865	1.36883	1.36883	1.36881	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	1.36882	
1.533681.53368	1.52672	1.52674	1.52368	1.51296	1.51199	1.51108	1.5108	1.51063	1.51065	1.5107	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	1.51071	
1.428141.42814	1.49669	1.49651	1.50929	1.55378	1.55048	1.54649	1.54739	1.548	1.54791	1.54771	1.54773	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	1.54775	
1.154631.15463	1.33224	1.33178	1.36907	1.49903	1.4935	1.48621	1.489	1.49082	1.49055	1.48997	1.49001	1.49007	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	1.49006	
0.783650.78365	1.07401	1.07324	1.13939	1.37036	1.36462	1.356	1.36106	1.36432	1.36383	1.36281	1.36287	1.36295	1.36293	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	1.36294	
0.5857130.585713	0.87577	0.875011	0.950053	1.21165	1.21044	1.20629	1.21189	1.21547	1.21491	1.21377	1.21382	1.21391	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	1.21389	
0.5086350.508635	0.773232	0.772544	0.846168	1.10249	1.10471	1.10425	1.10969	1.11315	1.1126	1.11148	1.11152	1.1116	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	1.11158	
0.5086360.508636	0.773334	0.772646	0.846265	1.10257	1.10475	1.10425	1.10969	1.11315	1.11261	1.11149	1.11152	1.11161	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	1.11159	
0.5857150.585715	0.876058	0.875299	0.950331	1.21189	1.2106	1.20638	1.21198	1.21556	1.21501	1.21387	1.21392	1.21401	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	1.21399	
0.7836540.783654	1.07436	1.07359	1.13975	1.37073	1.36494	1.35626	1.36135	1.36461	1.36412	1.36311	1.36317	1.36326	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	1.36324	
1.154641.15464	1.33241	1.33194	1.36926	1.49934	1.49384	1.48657	1.4894	1.49123	1.49096	1.4904	1.49044	1.4905	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	1.49049	
1.428141.42814	1.49673	1.49655	1.50937	1.55398	1.55075	1.54681	1.54773	1.54836	1.54827	1.54807	1.5481	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	1.54812	
1.533691.53368	1.52673	1.52675	1.52372	1.51309	1.51217	1.5113	1.51103	1.51087	1.51089	1.51094	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	1.51095	
1.470781.47078	1.4205	1.42063	1.40896	1.36823	1.36897	1.3702	1.36928	1.3687	1.36879	1.36897	1.36896	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	1.36895	
1.248461.24846	1.18207	1.18224	1.16764	1.11665	1.11821	1.12043	1.1193	1.11858	1.11868	1.11891	1.1189	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	1.11888	
0.8720690.872069	0.813689	0.813842	0.801225	0.757163	0.758698	0.760813	0.759846	0.759219	0.759313	0.759509	0.759495	0.759477	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	0.759481	
